True nu: 0.05
Initial nu_pinn guess: 0.060000
Starting Adam training...
Adam Epoch 0: Loss = 3.206871, Discovered nu = 0.060060
Adam Epoch 100: Loss = 1.423138, Discovered nu = 0.060012
Adam Epoch 200: Loss = 1.396457, Discovered nu = 0.060053
Adam Epoch 300: Loss = 1.207655, Discovered nu = 0.058670
Adam Epoch 400: Loss = 0.770774, Discovered nu = 0.047499
Adam Epoch 500: Loss = 0.315199, Discovered nu = 0.038014
Adam Epoch 600: Loss = 0.152213, Discovered nu = 0.031352
Adam Epoch 700: Loss = 0.078922, Discovered nu = 0.027176
Adam Epoch 800: Loss = 0.054264, Discovered nu = 0.024127
Adam Epoch 900: Loss = 0.041571, Discovered nu = 0.023109

Adam training finished.
Starting L-BFGS-B training with SciPy...
  L-BFGS-B: Loss = 1.387337e-02, Grad Norm = 2.063104e-01, nu_pinn_grad = -1.685072e-03
  L-BFGS-B: Loss = 1.372177e-02, Grad Norm = 1.562555e-01, nu_pinn_grad = -2.006558e-03
  L-BFGS-B: Loss = 1.366684e-02, Grad Norm = 1.671574e-01, nu_pinn_grad = -2.024904e-03
  L-BFGS-B: Loss = 1.351087e-02, Grad Norm = 2.601368e-01, nu_pinn_grad = -1.718406e-03
  L-BFGS-B: Loss = 1.336608e-02, Grad Norm = 2.428285e-01, nu_pinn_grad = -1.636526e-03
  L-BFGS-B: Loss = 1.306646e-02, Grad Norm = 3.807441e-01, nu_pinn_grad = -1.518318e-03
  L-BFGS-B: Loss = 1.295451e-02, Grad Norm = 1.821342e-01, nu_pinn_grad = -1.445053e-03
  L-BFGS-B: Loss = 1.290345e-02, Grad Norm = 1.263121e-01, nu_pinn_grad = -1.730828e-03
  L-BFGS-B: Loss = 1.287638e-02, Grad Norm = 1.192572e-01, nu_pinn_grad = -2.008045e-03
  L-BFGS-B: Loss = 1.281482e-02, Grad Norm = 1.866039e-01, nu_pinn_grad = -2.368595e-03
  L-BFGS-B: Loss = 1.272302e-02, Grad Norm = 1.961872e-01, nu_pinn_grad = -2.471735e-03
  L-BFGS-B: Loss = 1.260537e-02, Grad Norm = 2.499737e-01, nu_pinn_grad = -2.275799e-03
  L-BFGS-B: Loss = 1.251949e-02, Grad Norm = 1.278151e-01, nu_pinn_grad = -1.840158e-03
  L-BFGS-B: Loss = 1.248520e-02, Grad Norm = 1.059131e-01, nu_pinn_grad = -1.359388e-03
  L-BFGS-B: Loss = 1.246891e-02, Grad Norm = 1.692772e-01, nu_pinn_grad = -1.202689e-03
  L-BFGS-B: Loss = 1.245207e-02, Grad Norm = 1.179716e-01, nu_pinn_grad = -8.768073e-04
  L-BFGS-B: Loss = 1.242376e-02, Grad Norm = 1.097114e-01, nu_pinn_grad = -7.048401e-04
  L-BFGS-B: Loss = 1.235403e-02, Grad Norm = 1.369254e-01, nu_pinn_grad = -7.317421e-04
  L-BFGS-B: Loss = 1.226668e-02, Grad Norm = 1.822867e-01, nu_pinn_grad = -8.779186e-04
  L-BFGS-B: Loss = 1.220702e-02, Grad Norm = 1.848125e-01, nu_pinn_grad = -1.143354e-03
  L-BFGS-B: Loss = 1.212080e-02, Grad Norm = 9.495821e-02, nu_pinn_grad = -1.405292e-03
  L-BFGS-B: Loss = 1.207670e-02, Grad Norm = 1.103849e-01, nu_pinn_grad = -1.548371e-03
  L-BFGS-B: Loss = 1.201241e-02, Grad Norm = 2.154829e-01, nu_pinn_grad = -1.776105e-03
  L-BFGS-B: Loss = 1.190639e-02, Grad Norm = 2.594736e-01, nu_pinn_grad = -1.919142e-03
  L-BFGS-B: Loss = 1.170546e-02, Grad Norm = 3.362769e-01, nu_pinn_grad = -1.913090e-03
  L-BFGS-B: Loss = 1.152866e-02, Grad Norm = 2.353216e-01, nu_pinn_grad = -1.836415e-03
  L-BFGS-B: Loss = 1.139073e-02, Grad Norm = 1.539788e-01, nu_pinn_grad = -1.589687e-03
  L-BFGS-B: Loss = 1.132256e-02, Grad Norm = 1.189076e-01, nu_pinn_grad = -1.341688e-03
  L-BFGS-B: Loss = 1.127391e-02, Grad Norm = 2.199555e-01, nu_pinn_grad = -1.278656e-03
  L-BFGS-B: Loss = 1.116063e-02, Grad Norm = 2.469667e-01, nu_pinn_grad = -9.978818e-04
  L-BFGS-B: Loss = 1.102714e-02, Grad Norm = 3.982501e-01, nu_pinn_grad = -1.089547e-03
  L-BFGS-B: Loss = 1.084097e-02, Grad Norm = 3.688293e-01, nu_pinn_grad = -1.560320e-03
  L-BFGS-B: Loss = 1.063193e-02, Grad Norm = 1.712921e-01, nu_pinn_grad = -2.208139e-03
  L-BFGS-B: Loss = 1.057050e-02, Grad Norm = 2.405529e-01, nu_pinn_grad = -2.273710e-03
  L-BFGS-B: Loss = 1.054001e-02, Grad Norm = 1.680879e-01, nu_pinn_grad = -2.414884e-03
  L-BFGS-B: Loss = 1.051082e-02, Grad Norm = 1.036552e-01, nu_pinn_grad = -2.465506e-03
  L-BFGS-B: Loss = 1.046894e-02, Grad Norm = 1.774359e-01, nu_pinn_grad = -2.492855e-03
  L-BFGS-B: Loss = 1.041055e-02, Grad Norm = 1.509880e-01, nu_pinn_grad = -2.621718e-03
  L-BFGS-B: Loss = 1.027129e-02, Grad Norm = 3.007082e-01, nu_pinn_grad = -2.743948e-03
  L-BFGS-B: Loss = 1.017758e-02, Grad Norm = 3.699601e-01, nu_pinn_grad = -3.001431e-03
  L-BFGS-B: Loss = 1.005968e-02, Grad Norm = 4.564989e-01, nu_pinn_grad = -3.160103e-03
  L-BFGS-B: Loss = 9.950975e-03, Grad Norm = 3.562137e-01, nu_pinn_grad = -3.029471e-03
  L-BFGS-B: Loss = 9.850573e-03, Grad Norm = 3.251393e-01, nu_pinn_grad = -2.772881e-03
  L-BFGS-B: Loss = 9.737067e-03, Grad Norm = 1.852643e-01, nu_pinn_grad = -2.471664e-03
  L-BFGS-B: Loss = 9.650751e-03, Grad Norm = 2.939301e-01, nu_pinn_grad = -2.124691e-03
  L-BFGS-B: Loss = 9.596414e-03, Grad Norm = 1.705166e-01, nu_pinn_grad = -2.205401e-03
  L-BFGS-B: Loss = 9.556415e-03, Grad Norm = 3.021113e-01, nu_pinn_grad = -2.364020e-03
  L-BFGS-B: Loss = 9.501068e-03, Grad Norm = 2.572621e-01, nu_pinn_grad = -2.603482e-03
  L-BFGS-B: Loss = 9.427639e-03, Grad Norm = 2.971243e-01, nu_pinn_grad = -2.890624e-03
  L-BFGS-B: Loss = 9.334330e-03, Grad Norm = 3.186564e-01, nu_pinn_grad = -3.264793e-03
  L-BFGS-B: Loss = 9.192510e-03, Grad Norm = 3.324336e-01, nu_pinn_grad = -3.604895e-03
  L-BFGS-B: Loss = 9.057526e-03, Grad Norm = 2.070719e-01, nu_pinn_grad = -4.128799e-03
  L-BFGS-B: Loss = 8.959078e-03, Grad Norm = 1.601903e-01, nu_pinn_grad = -4.207724e-03
  L-BFGS-B: Loss = 8.869944e-03, Grad Norm = 2.044339e-01, nu_pinn_grad = -4.382299e-03
  L-BFGS-B: Loss = 8.800649e-03, Grad Norm = 1.854725e-01, nu_pinn_grad = -4.540574e-03
  L-BFGS-B: Loss = 8.742769e-03, Grad Norm = 3.293709e-01, nu_pinn_grad = -4.813509e-03
  L-BFGS-B: Loss = 8.621145e-03, Grad Norm = 1.615068e-01, nu_pinn_grad = -4.943711e-03
  L-BFGS-B: Loss = 8.519484e-03, Grad Norm = 2.055980e-01, nu_pinn_grad = -4.786089e-03
  L-BFGS-B: Loss = 8.322202e-03, Grad Norm = 1.830301e-01, nu_pinn_grad = -4.665585e-03
  L-BFGS-B: Loss = 8.148926e-03, Grad Norm = 2.152913e-01, nu_pinn_grad = -4.120503e-03
  L-BFGS-B: Loss = 8.024903e-03, Grad Norm = 1.300295e-01, nu_pinn_grad = -3.863867e-03
  L-BFGS-B: Loss = 7.953763e-03, Grad Norm = 1.099762e-01, nu_pinn_grad = -3.644036e-03
  L-BFGS-B: Loss = 7.891129e-03, Grad Norm = 1.250023e-01, nu_pinn_grad = -3.679695e-03
  L-BFGS-B: Loss = 7.806791e-03, Grad Norm = 2.437946e-01, nu_pinn_grad = -3.627245e-03
  L-BFGS-B: Loss = 7.695477e-03, Grad Norm = 2.407682e-01, nu_pinn_grad = -3.383878e-03
  L-BFGS-B: Loss = 7.613068e-03, Grad Norm = 3.747320e-01, nu_pinn_grad = -3.684798e-03
  L-BFGS-B: Loss = 7.345296e-03, Grad Norm = 2.271512e-01, nu_pinn_grad = -2.315731e-03
  L-BFGS-B: Loss = 7.214344e-03, Grad Norm = 1.182320e-01, nu_pinn_grad = -2.500889e-03
  L-BFGS-B: Loss = 7.144058e-03, Grad Norm = 1.252976e-01, nu_pinn_grad = -2.630889e-03
  L-BFGS-B: Loss = 7.101636e-03, Grad Norm = 2.291786e-01, nu_pinn_grad = -2.808552e-03
  L-BFGS-B: Loss = 7.041576e-03, Grad Norm = 1.208075e-01, nu_pinn_grad = -2.730513e-03
  L-BFGS-B: Loss = 6.983733e-03, Grad Norm = 2.501888e-01, nu_pinn_grad = -2.829284e-03
  L-BFGS-B: Loss = 6.909820e-03, Grad Norm = 2.949955e-01, nu_pinn_grad = -2.782872e-03
  L-BFGS-B: Loss = 6.795010e-03, Grad Norm = 1.776322e-01, nu_pinn_grad = -2.674891e-03
  L-BFGS-B: Loss = 6.728378e-03, Grad Norm = 2.983956e-01, nu_pinn_grad = -2.342018e-03
  L-BFGS-B: Loss = 6.626340e-03, Grad Norm = 1.326458e-01, nu_pinn_grad = -1.441817e-03
  L-BFGS-B: Loss = 6.593619e-03, Grad Norm = 1.140499e-01, nu_pinn_grad = -1.358804e-03
  L-BFGS-B: Loss = 6.559840e-03, Grad Norm = 2.092823e-01, nu_pinn_grad = -9.419526e-04
  L-BFGS-B: Loss = 6.523567e-03, Grad Norm = 1.552093e-01, nu_pinn_grad = -8.019595e-04
  L-BFGS-B: Loss = 6.423484e-03, Grad Norm = 1.959421e-01, nu_pinn_grad = -5.390338e-04
  L-BFGS-B: Loss = 6.342606e-03, Grad Norm = 2.165935e-01, nu_pinn_grad = -3.706423e-04
  L-BFGS-B: Loss = 6.136101e-03, Grad Norm = 2.600400e-01, nu_pinn_grad = -7.150898e-04
  L-BFGS-B: Loss = 5.987054e-03, Grad Norm = 2.511967e-01, nu_pinn_grad = -4.775259e-04
  L-BFGS-B: Loss = 5.893926e-03, Grad Norm = 1.938103e-01, nu_pinn_grad = -1.111274e-03
  L-BFGS-B: Loss = 5.815838e-03, Grad Norm = 1.555185e-01, nu_pinn_grad = -1.487294e-03
  L-BFGS-B: Loss = 5.749006e-03, Grad Norm = 1.504008e-01, nu_pinn_grad = -1.743717e-03
  L-BFGS-B: Loss = 5.604467e-03, Grad Norm = 1.122704e-01, nu_pinn_grad = -1.401976e-03
  L-BFGS-B: Loss = 5.543002e-03, Grad Norm = 1.715040e-01, nu_pinn_grad = -9.486420e-04
  L-BFGS-B: Loss = 5.497891e-03, Grad Norm = 1.013180e-01, nu_pinn_grad = -4.232598e-04
  L-BFGS-B: Loss = 5.477838e-03, Grad Norm = 1.013861e-01, nu_pinn_grad = -1.227612e-04
  L-BFGS-B: Loss = 5.457744e-03, Grad Norm = 1.169054e-01, nu_pinn_grad = 1.213774e-05
  L-BFGS-B: Loss = 5.439496e-03, Grad Norm = 8.114675e-02, nu_pinn_grad = -1.669360e-04
  L-BFGS-B: Loss = 5.422006e-03, Grad Norm = 8.672234e-02, nu_pinn_grad = -5.025217e-04
  L-BFGS-B: Loss = 5.399609e-03, Grad Norm = 9.796142e-02, nu_pinn_grad = -5.241191e-04
  L-BFGS-B: Loss = 5.363666e-03, Grad Norm = 1.542837e-01, nu_pinn_grad = -5.490018e-04
  L-BFGS-B: Loss = 5.315063e-03, Grad Norm = 1.332590e-01, nu_pinn_grad = -3.813264e-04
  L-BFGS-B: Loss = 5.273950e-03, Grad Norm = 1.686392e-01, nu_pinn_grad = -1.496152e-04
  L-BFGS-B: Loss = 5.226963e-03, Grad Norm = 1.434752e-01, nu_pinn_grad = -7.853684e-06
  L-BFGS-B: Loss = 5.192113e-03, Grad Norm = 7.443051e-02, nu_pinn_grad = 1.449985e-04
  L-BFGS-B: Loss = 5.169529e-03, Grad Norm = 1.765307e-01, nu_pinn_grad = 5.508525e-05
  L-BFGS-B: Loss = 5.146486e-03, Grad Norm = 1.121349e-01, nu_pinn_grad = -2.055481e-04
  L-BFGS-B: Loss = 5.127817e-03, Grad Norm = 1.150808e-01, nu_pinn_grad = -1.545650e-04
  L-BFGS-B: Loss = 5.087226e-03, Grad Norm = 1.175145e-01, nu_pinn_grad = -9.042352e-05
  L-BFGS-B: Loss = 5.045400e-03, Grad Norm = 1.324281e-01, nu_pinn_grad = -2.580989e-04
  L-BFGS-B: Loss = 4.984411e-03, Grad Norm = 1.492876e-01, nu_pinn_grad = -4.350625e-04
  L-BFGS-B: Loss = 4.945202e-03, Grad Norm = 1.349877e-01, nu_pinn_grad = -5.305774e-04
  L-BFGS-B: Loss = 4.863576e-03, Grad Norm = 1.233084e-01, nu_pinn_grad = -8.052210e-04
  L-BFGS-B: Loss = 4.809509e-03, Grad Norm = 1.312257e-01, nu_pinn_grad = -1.461035e-04
  L-BFGS-B: Loss = 4.760099e-03, Grad Norm = 1.348211e-01, nu_pinn_grad = 7.082779e-05
  L-BFGS-B: Loss = 4.725931e-03, Grad Norm = 8.243680e-02, nu_pinn_grad = 1.391312e-04
  L-BFGS-B: Loss = 4.711633e-03, Grad Norm = 9.326147e-02, nu_pinn_grad = 1.935596e-04
  L-BFGS-B: Loss = 4.692893e-03, Grad Norm = 1.215686e-01, nu_pinn_grad = 1.229489e-04
  L-BFGS-B: Loss = 4.682115e-03, Grad Norm = 1.086595e-01, nu_pinn_grad = 2.005145e-04
  L-BFGS-B: Loss = 4.664504e-03, Grad Norm = 2.791876e-01, nu_pinn_grad = 2.719129e-04
  L-BFGS-B: Loss = 4.622357e-03, Grad Norm = 1.520347e-01, nu_pinn_grad = 2.179043e-04
  L-BFGS-B: Loss = 4.579730e-03, Grad Norm = 8.478371e-02, nu_pinn_grad = 2.668624e-04
  L-BFGS-B: Loss = 4.533684e-03, Grad Norm = 9.415713e-02, nu_pinn_grad = 2.256890e-04
  L-BFGS-B: Loss = 4.493055e-03, Grad Norm = 1.140358e-01, nu_pinn_grad = 1.889008e-04
  L-BFGS-B: Loss = 4.444398e-03, Grad Norm = 1.025481e-01, nu_pinn_grad = 2.892887e-04
  L-BFGS-B: Loss = 4.408429e-03, Grad Norm = 1.164935e-01, nu_pinn_grad = 4.113486e-04
  L-BFGS-B: Loss = 4.381329e-03, Grad Norm = 8.280946e-02, nu_pinn_grad = 4.003496e-04
  L-BFGS-B: Loss = 4.351433e-03, Grad Norm = 1.017099e-01, nu_pinn_grad = 2.919221e-04
  L-BFGS-B: Loss = 4.328835e-03, Grad Norm = 1.095702e-01, nu_pinn_grad = 2.364691e-04
  L-BFGS-B: Loss = 4.284051e-03, Grad Norm = 7.992309e-02, nu_pinn_grad = 3.112486e-04
  L-BFGS-B: Loss = 4.241242e-03, Grad Norm = 1.266962e-01, nu_pinn_grad = 3.737839e-04
  L-BFGS-B: Loss = 4.188479e-03, Grad Norm = 1.307219e-01, nu_pinn_grad = 4.869102e-04
  L-BFGS-B: Loss = 4.120382e-03, Grad Norm = 1.180892e-01, nu_pinn_grad = 6.332471e-04
  L-BFGS-B: Loss = 4.065366e-03, Grad Norm = 2.201524e-01, nu_pinn_grad = 6.086765e-04
  L-BFGS-B: Loss = 4.022678e-03, Grad Norm = 1.462917e-01, nu_pinn_grad = 6.859009e-04
  L-BFGS-B: Loss = 3.995905e-03, Grad Norm = 1.280615e-01, nu_pinn_grad = 5.984703e-04
  L-BFGS-B: Loss = 3.964134e-03, Grad Norm = 1.159195e-01, nu_pinn_grad = 7.487488e-04
  L-BFGS-B: Loss = 3.943508e-03, Grad Norm = 8.257323e-02, nu_pinn_grad = 6.350777e-04
  L-BFGS-B: Loss = 3.926241e-03, Grad Norm = 1.318350e-01, nu_pinn_grad = 7.041321e-04
  L-BFGS-B: Loss = 3.901091e-03, Grad Norm = 1.224384e-01, nu_pinn_grad = 6.448363e-04
  L-BFGS-B: Loss = 3.864729e-03, Grad Norm = 1.637500e-01, nu_pinn_grad = 8.591812e-04
  L-BFGS-B: Loss = 3.829357e-03, Grad Norm = 2.042722e-01, nu_pinn_grad = 1.031724e-03
  L-BFGS-B: Loss = 3.782719e-03, Grad Norm = 2.037701e-01, nu_pinn_grad = 1.156544e-03
